"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 31 22:38:42 GMT 2024","Fri May 31 22:38:43 GMT 2024","237","tests","test_login","TestCriticalPath","","","test_01_login[locked_out_user]",""
"passed","Fri May 31 22:38:42 GMT 2024","Fri May 31 22:38:42 GMT 2024","424","tests","test_login","TestCriticalPath","","","test_01_login[standard_user]",""
"passed","Fri May 31 22:38:42 GMT 2024","Fri May 31 22:38:42 GMT 2024","245","tests","test_add_to_cart","TestAddToCart","","","test_05_fill_checkout_information",""
"passed","Fri May 31 22:38:49 GMT 2024","Fri May 31 22:38:49 GMT 2024","383","tests","test_login","TestCriticalPath","","","test_01_login[error_user]",""
"passed","Fri May 31 22:38:41 GMT 2024","Fri May 31 22:38:42 GMT 2024","205","tests","test_add_to_cart","TestAddToCart","","","test_03_verify_added_products",""
"passed","Fri May 31 22:38:41 GMT 2024","Fri May 31 22:38:41 GMT 2024","363","tests","test_add_to_cart","TestAddToCart","","","test_02_add_to_cart",""
"passed","Fri May 31 22:38:42 GMT 2024","Fri May 31 22:38:42 GMT 2024","102","tests","test_add_to_cart","TestAddToCart","","","test_07_verify_order_confirmation",""
"passed","Fri May 31 22:38:43 GMT 2024","Fri May 31 22:38:49 GMT 2024","5409","tests","test_login","TestCriticalPath","","","test_01_login[performance_glitch_user]",""
"passed","Fri May 31 22:38:49 GMT 2024","Fri May 31 22:38:49 GMT 2024","375","tests","test_login","TestCriticalPath","","","test_01_login[visual_user]",""
"passed","Fri May 31 22:38:43 GMT 2024","Fri May 31 22:38:43 GMT 2024","391","tests","test_login","TestCriticalPath","","","test_01_login[problem_user]",""
"passed","Fri May 31 22:38:42 GMT 2024","Fri May 31 22:38:42 GMT 2024","45","tests","test_add_to_cart","TestAddToCart","","","test_06_verify_order",""
"passed","Fri May 31 22:38:42 GMT 2024","Fri May 31 22:38:42 GMT 2024","93","tests","test_add_to_cart","TestAddToCart","","","test_04_go_to_checkout",""
"passed","Fri May 31 22:38:40 GMT 2024","Fri May 31 22:38:41 GMT 2024","693","tests","test_add_to_cart","TestAddToCart","","","test_01_login",""
